year,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,weapon,weapcat,newcrime,newoff,injury,treatment,locationr,notify
1996,2,2,2,2,5,1,88,5,1,1,3,1,1,1,1,1,1,3,1
1996,2,1,2,1,5,1,88,1,2,3,2,2,0,1,1,0,0,1,1
1996,2,1,2,1,2,4,88,1,3,2,4,2,0,1,1,0,0,3,2
1996,2,1,2,1,6,4,88,0,3,2,3,2,0,1,1,0,0,1,2
1996,2,1,2,1,3,1,88,0,2,2,2,2,0,1,1,1,2,1,1
1996,2,1,2,1,3,1,88,0,2,2,2,2,0,1,1,1,2,1,1
1996,2,1,2,1,3,1,88,0,2,2,2,2,0,1,1,1,2,1,1
1996,2,2,2,2,6,88,88,1,3,3,1,2,0,1,1,1,1,1,2
1996,2,1,2,1,7,4,88,1,2,2,3,2,0,1,1,0,0,4,2
1996,2,1,2,1,6,4,88,1,3,2,4,1,2,1,1,1,2,2,1
1996,2,2,2,2,6,3,88,3,4,1,5,3,5,1,2,1,2,3,1
1996,1,1,2,1,5,1,88,0,1,2,4,1,1,1,2,0,0,3,2
1996,2,1,1,4,7,5,88,5,1,1,5,3,5,1,2,1,2,3,2
1996,1,1,2,1,7,2,88,1,3,2,3,1,3,1,2,1,1,3,1
1996,1,1,2,1,1,1,88,1,3,2,3,1,3,1,2,0,0,3,1
1996,1,1,1,4,6,2,88,1,3,2,4,1,2,1,2,0,0,3,1
1996,1,1,2,1,6,1,88,2,2,1,6,1,1,1,2,0,0,3,1
1996,1,1,2,1,4,1,88,5,1,1,4,1,1,1,2,0,0,3,1
1996,2,2,2,2,3,1,88,2,3,1,2,2,0,1,2,0,0,1,1
1996,2,1,2,1,4,2,88,0,3,2,4,1,1,1,2,0,0,3,2
1996,2,1,2,1,7,4,88,1,1,2,5,3,5,1,2,0,0,3,2
1996,2,2,2,2,5,5,88,5,2,1,4,1,1,1,2,0,0,1,1
1996,1,2,2,2,3,1,88,2,1,1,4,1,2,1,2,0,0,3,1
1996,1,1,1,4,3,1,88,1,3,3,4,1,3,1,2,0,0,2,1
1996,1,2,2,2,3,1,88,5,1,1,4,1,1,1,2,0,0,3,2
1996,1,2,2,2,3,1,88,5,1,1,4,1,1,1,2,1,2,3,2
1996,1,1,1,4,3,1,88,5,2,1,4,2,0,1,2,0,0,1,2
1996,1,1,2,1,5,1,88,4,4,1,4,1,2,1,2,0,0,3,2
1996,1,1,2,1,5,1,88,4,4,1,4,1,1,1,2,0,0,3,2
1996,2,2,2,2,7,4,88,5,1,1,4,2,0,1,2,1,2,1,1
1996,2,1,2,1,8,2,88,0,2,2,4,3,5,1,2,0,0,3,1
1996,2,2,2,2,4,1,88,4,2,1,2,2,0,1,2,0,0,1,1
1996,1,3,2,3,6,2,88,5,1,1,4,3,5,1,2,0,0,3,1
1996,1,3,2,3,6,2,88,5,1,1,5,3,5,1,2,0,0,1,2
1996,2,1,2,1,3,5,88,1,2,2,4,1,1,1,2,0,0,3,2
1996,2,2,2,2,6,4,88,5,1,1,4,2,0,1,2,0,0,3,1
1996,1,1,2,1,1,1,88,0,1,2,4,3,5,1,2,0,0,3,2
1996,2,1,2,1,6,2,88,0,3,3,3,2,0,1,2,0,0,2,2
1996,2,1,1,4,5,2,88,0,3,3,2,2,0,1,2,0,0,2,2
1996,1,1,2,1,6,2,88,0,2,2,2,1,2,1,2,0,0,1,2
1996,1,2,2,2,2,1,88,2,3,1,4,1,1,1,2,0,0,3,1
1996,1,1,1,4,4,1,88,1,4,2,4,1,1,1,2,1,1,3,2
1996,1,2,2,2,5,5,88,5,1,1,5,1,1,1,2,1,2,3,1
1996,2,1,2,1,5,1,88,1,3,2,1,2,0,1,2,0,0,1,2
1996,2,1,2,1,8,5,88,4,4,1,4,1,3,1,2,1,1,1,1
1996,1,2,2,2,1,1,88,5,4,1,4,2,0,1,2,1,2,3,1
1996,1,1,2,1,5,1,88,1,3,2,4,2,0,1,2,0,0,3,2
1996,2,1,2,1,2,1,88,1,2,3,3,2,0,1,2,0,0,1,1
1996,2,2,2,2,4,1,88,4,2,1,4,1,1,1,2,0,0,3,1
1996,1,2,2,2,3,1,88,3,2,1,4,1,1,1,2,0,0,3,1
1996,1,1,2,1,3,1,88,3,3,1,4,1,1,1,2,0,0,1,1
1996,1,1,2,1,6,4,88,1,1,2,4,3,5,1,2,1,1,3,2
1996,1,1,2,1,6,4,88,1,1,2,4,3,5,1,2,1,1,3,2
1996,1,1,2,1,1,1,88,5,1,1,4,1,2,1,2,1,1,3,1
1996,2,2,2,2,5,1,88,5,2,1,4,1,1,1,2,0,0,3,1
1996,1,1,1,4,5,1,88,5,1,1,4,2,0,1,2,1,1,3,1
1996,1,1,2,1,1,1,88,1,2,3,3,1,3,1,2,1,2,1,1
1996,1,1,2,1,1,1,88,1,2,3,3,1,3,1,2,1,1,1,1
1996,2,2,2,2,6,5,88,5,1,1,4,3,5,1,2,0,0,3,2
1996,1,1,2,1,2,1,88,1,1,2,4,2,0,1,2,0,0,3,1
1996,2,1,2,1,2,1,88,1,1,3,3,1,3,1,3,1,1,2,2
1996,1,2,2,2,6,2,88,5,2,1,4,1,1,1,3,0,0,3,2
1996,1,1,2,1,8,2,88,0,2,3,6,1,3,1,3,0,0,3,2
1996,1,1,2,1,6,2,88,1,2,3,6,1,3,1,3,0,0,4,2
1996,1,1,2,1,6,1,88,1,1,1,4,1,1,1,3,0,0,3,1
1996,2,1,2,1,7,5,88,1,3,2,1,1,2,1,3,1,1,1,2
1996,1,1,2,1,5,4,88,0,3,2,4,1,3,1,3,1,1,3,2
1996,1,1,2,1,5,4,88,0,3,2,3,1,3,1,3,1,2,3,1
1996,1,2,2,2,6,4,88,0,3,2,3,1,3,1,3,0,0,1,2
1996,1,1,1,4,2,1,88,1,4,2,3,3,5,1,3,1,2,3,1
1996,1,2,1,4,7,2,88,5,1,1,4,1,2,1,3,0,0,3,3
1996,2,2,1,4,6,3,88,3,4,1,3,1,1,1,3,0,0,1,1
1996,1,1,2,1,1,1,88,2,3,1,3,1,1,1,3,1,2,3,1
1996,1,1,2,1,1,1,88,1,3,2,3,1,3,1,3,0,0,2,2
1996,2,1,2,1,4,1,88,1,2,2,4,1,2,1,3,0,0,3,2
1996,1,1,2,1,3,1,88,4,2,1,4,1,1,1,3,0,0,3,2
1996,1,2,2,2,7,2,88,5,1,1,4,1,1,1,3,0,0,3,1
1996,1,1,2,1,8,2,88,2,3,1,4,1,1,1,3,0,0,5,1
1996,2,1,2,1,7,4,88,0,1,3,4,1,2,1,3,0,0,3,1
1996,2,1,2,1,7,4,88,0,1,3,4,1,3,1,3,0,0,3,2
1996,1,1,2,1,4,1,88,1,1,2,4,1,1,1,3,0,0,3,1
1996,1,1,2,1,3,1,88,1,1,2,4,2,0,1,3,1,2,3,1
1996,1,1,2,1,3,1,88,2,2,1,3,1,2,1,3,0,0,3,1
1996,2,1,2,1,6,2,88,1,2,2,4,1,3,1,3,0,0,3,2
1996,1,2,2,2,2,1,88,2,3,1,4,1,1,1,3,0,0,3,1
1996,1,1,2,1,3,1,88,0,4,2,3,1,2,1,3,0,0,1,1
1996,1,1,2,1,2,1,88,0,3,2,4,1,1,1,3,0,0,3,2
1996,1,1,2,1,1,1,88,1,2,3,4,1,2,1,3,0,0,2,1
1996,1,1,2,1,5,1,88,1,2,2,4,1,2,1,3,0,0,3,2
1996,1,1,2,1,5,1,88,4,4,1,4,1,1,1,3,0,0,3,1
1996,1,1,2,1,5,4,88,0,3,3,4,1,3,1,3,0,0,5,2
1996,2,2,2,2,4,5,88,0,3,3,1,1,3,1,3,1,2,1,2
1996,2,1,2,1,6,2,88,0,3,3,2,1,1,1,3,1,1,1,1
1996,2,1,2,1,1,1,88,0,3,3,2,1,1,1,3,0,0,1,1
1996,2,1,2,1,6,2,88,1,3,2,3,1,2,1,3,0,0,1,2
1996,1,1,1,4,6,4,88,1,4,3,4,1,3,1,3,0,0,5,2
1996,1,1,2,1,3,1,88,0,1,2,4,1,2,1,3,1,1,3,2
1996,2,1,2,1,1,1,88,1,3,2,3,1,3,1,3,0,0,1,2
1996,2,1,2,1,5,2,88,1,1,2,4,1,3,1,3,0,0,3,2
1996,2,2,2,2,5,4,88,5,2,1,1,1,2,1,3,1,1,1,1
1996,1,1,2,1,6,1,88,5,4,1,4,1,3,1,3,0,0,3,1
1996,1,1,2,1,6,5,88,1,1,2,4,1,1,1,3,0,0,3,2
1996,1,1,2,1,4,5,88,2,2,1,4,1,1,1,3,0,0,3,2
1996,1,2,2,2,6,2,88,5,3,1,2,1,2,1,3,1,2,1,1
1996,1,2,2,2,3,1,88,1,3,2,4,1,1,1,3,0,0,3,2
1996,1,1,2,1,1,1,88,1,3,2,4,1,2,1,3,0,0,2,2
1996,1,1,2,1,1,1,88,1,2,2,3,1,3,1,3,1,2,3,2
1996,1,1,2,1,6,4,88,1,2,2,3,1,2,1,3,0,0,5,1
1996,1,1,2,1,3,1,88,0,3,2,2,1,3,1,3,0,0,3,1
1996,2,1,2,1,3,5,88,1,3,2,1,1,1,1,3,1,1,3,2
1996,2,1,2,1,5,4,88,1,3,2,3,1,4,1,3,0,0,1,2
1996,1,1,2,1,6,1,88,1,2,1,4,3,5,1,3,1,2,3,1
1996,1,2,2,2,5,2,88,1,2,2,4,1,3,1,3,1,2,3,1
1996,1,1,2,1,6,4,88,0,2,2,4,1,3,1,3,1,2,3,1
1996,1,2,2,2,6,1,88,5,2,1,4,1,3,1,3,0,0,3,2
1996,2,1,2,1,4,4,88,5,1,1,1,1,2,1,3,0,0,1,1
1996,1,1,2,1,5,4,88,1,2,1,4,1,2,1,3,0,0,3,2
1996,2,1,2,1,6,1,88,1,3,2,4,1,1,1,3,0,0,3,1
1996,1,1,2,1,6,2,88,1,3,2,4,1,3,1,3,0,0,3,2
1996,1,1,2,1,5,4,88,0,3,3,4,1,3,1,3,0,0,5,2
1996,2,1,2,1,1,1,88,0,4,3,4,1,4,1,3,0,0,2,1
1996,2,2,2,2,5,5,88,1,3,2,1,2,0,1,4,0,0,1,2
1996,2,1,2,1,6,1,88,1,2,3,3,3,5,1,4,1,2,1,1
1996,2,1,2,1,2,1,88,1,3,3,3,2,0,1,4,0,0,4,2
1996,1,1,2,1,4,1,88,1,3,2,4,2,0,1,4,1,1,3,1
1996,1,1,2,1,2,1,88,1,3,2,4,3,5,1,4,0,0,4,2
1996,1,1,2,1,2,1,88,1,3,2,4,2,0,1,4,0,0,3,2
1996,1,1,2,1,6,1,88,2,2,1,4,3,5,1,4,0,0,5,2
1996,1,2,2,2,6,2,88,5,4,1,4,3,5,1,4,0,0,3,2
1996,2,3,2,3,4,1,88,4,2,1,3,2,0,1,4,0,0,1,2
1996,2,1,2,1,2,1,88,0,4,2,2,2,0,1,4,0,0,1,2
1996,1,1,2,1,3,1,88,0,1,2,3,2,0,1,4,0,0,3,2
1996,2,1,2,1,6,2,88,1,3,2,1,2,0,1,4,0,0,1,1
1996,2,1,2,1,1,1,88,1,3,2,2,2,0,1,4,1,1,1,1
1996,2,1,2,1,1,1,88,1,3,2,2,2,0,1,4,0,0,1,1
1996,2,1,2,1,8,3,88,1,4,3,4,2,0,1,4,0,0,5,2
1996,1,3,2,3,6,1,88,5,4,1,3,3,5,1,4,0,0,3,2
1996,1,1,2,1,5,5,88,2,3,1,4,3,5,1,4,0,0,1,1
1996,1,1,2,1,2,1,88,0,1,3,3,2,0,1,4,0,0,3,2
1996,1,2,2,2,3,1,88,5,1,1,4,2,0,1,4,0,0,3,2
1996,1,1,2,1,4,1,88,3,3,1,4,2,0,1,4,0,0,5,1
1996,2,1,2,1,1,1,88,5,2,1,3,2,0,1,4,0,0,4,2
1996,2,2,2,2,5,88,88,2,4,1,1,2,0,1,4,0,0,1,2
1996,2,1,1,4,1,1,88,2,4,2,4,2,0,1,4,0,0,4,2
1996,1,1,2,1,5,1,88,0,4,2,4,2,0,1,4,0,0,3,1
1996,2,1,1,4,5,2,88,3,3,1,3,2,0,1,4,1,2,2,1
1996,1,1,2,1,5,1,88,4,2,1,4,2,0,1,4,0,0,3,1
1996,1,1,2,1,5,1,88,4,2,1,4,2,0,1,4,0,0,3,2
1996,2,1,2,1,6,4,88,5,1,1,4,2,0,1,4,0,0,5,1
1996,2,1,1,4,5,5,88,1,3,2,1,2,0,1,4,0,0,1,1
1996,1,1,2,1,1,1,88,1,1,2,4,2,0,1,4,0,0,3,2
1996,2,1,2,1,6,5,88,1,3,2,1,2,0,1,4,0,0,1,2
1996,2,2,2,2,3,1,88,1,3,1,4,2,0,1,4,0,0,3,2
1996,1,1,2,1,1,1,88,1,4,2,3,2,0,1,4,0,0,1,2
1996,1,1,2,1,5,1,88,1,4,2,4,2,0,1,4,0,0,3,2
1996,1,1,1,4,2,1,88,3,2,1,4,2,0,1,4,0,0,1,2
1996,1,3,2,3,2,1,88,2,4,2,4,2,0,1,4,0,0,4,1
1996,1,1,2,1,1,1,88,0,1,3,3,2,0,1,4,0,0,4,2
1996,1,1,2,1,5,4,88,0,1,3,3,2,0,1,4,0,0,3,2
1996,1,1,2,1,3,1,88,0,3,2,2,2,0,1,4,0,0,3,2
1996,1,1,2,1,3,1,88,0,3,2,2,2,0,1,4,0,0,5,2
1996,1,1,2,1,3,1,88,0,3,2,2,2,0,1,4,0,0,1,1
1996,1,1,2,1,6,2,88,1,3,3,3,2,0,1,4,0,0,4,1
1996,2,1,2,1,6,2,88,1,2,2,2,2,0,1,4,0,0,1,1
1996,1,2,2,2,5,1,88,5,1,1,1,2,0,1,4,0,0,1,1
1996,1,1,2,1,6,2,88,1,1,3,4,2,0,1,4,1,2,5,1
1996,1,1,2,1,1,1,88,2,4,1,4,2,0,1,4,1,1,5,1
1996,1,1,2,1,1,1,88,1,1,2,3,2,0,1,4,1,1,3,2
1996,1,1,2,1,3,1,88,0,2,3,4,2,0,1,4,0,0,3,1
1996,2,1,2,1,3,5,88,1,3,2,6,2,0,1,4,0,0,1,1
1996,1,1,2,1,1,1,88,2,4,1,4,2,0,1,4,0,0,4,2
1996,2,1,2,1,4,1,88,2,2,1,3,2,0,1,4,0,0,1,2
1996,2,1,2,1,4,1,88,2,2,1,3,2,0,1,4,0,0,1,2
1996,1,3,2,3,3,1,88,2,4,1,4,2,0,1,4,0,0,3,2
1996,1,1,2,1,7,1,88,4,2,1,3,2,0,1,4,0,0,3,2
1996,2,3,2,3,4,1,88,2,4,1,1,2,0,1,4,0,0,1,1
1996,2,3,2,3,2,1,88,2,4,1,3,2,0,1,4,1,1,1,1
1996,1,1,2,1,2,1,88,1,2,2,3,3,5,1,4,0,0,1,2
1996,1,1,2,1,1,1,88,1,3,2,3,2,0,1,4,0,0,2,2
1996,2,1,2,1,6,4,88,1,2,1,1,3,5,1,4,0,0,1,2
1996,2,1,2,1,5,4,88,2,4,2,1,2,0,1,4,1,2,1,1
1996,1,2,2,2,3,1,88,4,2,1,1,2,0,1,4,0,0,2,2
1996,2,1,2,1,1,1,88,1,4,2,3,2,0,1,4,0,0,4,2
